State,County,Pop2023,White %,Other %,TwoOrMore %,Black %,Asian %,Indian %,Hawaiian %
IN,Vermillion County,15208,0.9702,0.0048,0.0128,0.007,0.0028,0.0018,0.0005
IN,Vigo County,105643,0.866,0.0088,0.0309,0.0723,0.0197,0.0016,0.0007
IN,Wabash County,30403,0.9515,0.013,0.0107,0.0106,0.0052,0.0086,0.0004
IN,Warren County,8419,0.9731,0.0023,0.0159,0.0063,0.0023,0,0
IN,Warrick County,65161,0.925,0.0114,0.0161,0.0183,0.0282,0.0009,0.0001
IN,Washington County,28158,0.9773,0.0024,0.0159,0.0006,0.0034,0.0004,0
IN,Wayne County,65845,0.8928,0.0092,0.0305,0.0511,0.0129,0.0036,0
IN,Wells County,28342,0.9499,0.0079,0.0281,0.0081,0.0038,0.002,0
IN,White County,24700,0.9073,0.06,0.0167,0.0066,0.0033,0.0058,0.0003
IN,Whitley County,34461,0.9628,0.0012,0.026,0.0038,0.0043,0.0019,0
