County 1,distance,County 2
18001,14.51081418,18179
18001,19.83255783,39161
18001,21.57500947,39107
18001,21.75948591,18075
18001,24.94807379,18003
18001,27.73614133,18009
18001,28.92078315,18069
18001,31.89233716,39125
18001,40.00741509,18183
18001,40.32811787,18135
18001,40.90433604,18053
18001,43.30138963,18035
18001,45.41041303,18033
18001,45.44135658,18169
18001,45.52723742,39037
18001,46.18302582,39039
18001,51.74997695,18113
18001,57.55214838,18095
18001,58.02421435,18103
18001,59.29329621,18085
18001,59.48814339,39171
18001,61.0980263,18177
18001,61.39958471,18065
18001,62.1211947,18151
18001,64.3849227,18067
18001,66.07183696,18159
18001,66.99459776,18087
18001,71.30266656,39135
18001,72.52279444,18049
18001,74.27779961,18017
18001,74.61659539,18057
18001,76.27572579,18039
18001,77.54331587,18041
18001,77.54477046,18059
18001,77.56783632,18161
18001,78.78650933,26059
18001,80.17116676,18099
18001,81.31812168,26023
18001,82.5152322,18139
18001,86.0933856,18015
18001,86.10628129,26149
18001,86.46768797,18023
18001,91.78844204,18097
18001,92.32645534,39017
18001,92.56540873,18047
18001,92.58733516,18141
18001,93.86245272,18011
18001,94.03746611,18131
18001,95.75294742,18145
18001,96.64176902,18149
18001,97.89681977,26027
18001,100.9263515,18181
18001,103.8512866,18031
18001,105.665843,18157
18001,105.8395668,18081
18001,106.9835016,18063
18001,109.0056361,39061
18001,109.2437215,18091
18001,110.1691722,18029
18001,113.9110376,18107
18001,114.9851473,18137
18001,115.5555625,18073
18001,117.9547198,18005
18001,118.2903633,18109
18001,118.4249483,26021
18001,122.8542347,21015
18001,123.0247392,18127
18001,124.7366119,18115
18001,125.0355688,18007
18001,125.7133008,18133
18001,126.3242723,18079
18001,127.5834595,18013
18001,128.3532596,18045
18001,129.7390509,18111
18001,130.9290136,18171
18001,132.7443166,18155
18001,136.4894508,18089
18001,136.7973052,18121
18001,137.2444916,21077
18001,138.051492,18105
18001,138.1861163,18077
18001,139.6378924,18071
18001,140.9641751,18119
18001,143.8850131,21041
18001,146.6644734,18165
18001,148.3357846,18021
18001,148.6773529,21223
18001,149.2043387,18143
18001,151.660807,17075
18001,151.6828282,17183
18001,155.0551129,17091
18001,155.3228621,18093
18001,158.4374008,18167
18001,160.5505221,18055
18001,160.7116424,18175
18001,161.4298595,17031
